,title,herf,saleStatus,location0,location1,location2,area,avgPrice,totalPrice,updateTime
0,众安泽翠居,/loupan/p_zazcjbmtnn/,在售,萧山,萧山开发区,浙江省杭州市萧山区华诚路,建面 89-98㎡,17730,总价157-173(万/套),2024-07-25 23:02:13
1,旭辉珺和府,/loupan/p_xplxhjhfblcux/,在售,萧山,萧山开发区,浦阳镇中心小学东侧,建面 89-120㎡,14600,总价129-175(万/套),2024-07-25 23:02:13
2,滨江旭辉滨旭府,/loupan/p_bjxhbxfblcvi/,在售,萧山,萧山开发区,南秀路与03省道交汇处,建面 89-110㎡,25600,总价227-290(万/套),2024-07-25 23:02:13
3,德信金科泊岸江宸轩,/loupan/p_lshldxjkbajcxbliza/,在售,萧山,南部卧城,通惠路（规划段）与里士湖路交汇处往南直距600米,建面 89-107㎡,21400,总价196-232(万/套),2024-07-25 23:02:13
4,禹洲泊朗廷,/loupan/p_yzbltbltyc/,在售,萧山,南部卧城,南三路禹洲泊朗廷,建面 81-138㎡,33000,总价270-460(万/套),2024-07-25 23:02:13
5,山澜桂语轩,/loupan/p_lcslgybmehg/,在售,萧山,萧山开发区,浙江省杭州市萧山区荏山桥与金城路交叉口北350米路西,建面 89-123㎡,32000,总价365-380(万/套),2024-07-25 23:02:13
6,文宸望府,/loupan/p_wcwfbmgza/,在售,萧山,南部卧城,萧山区所前路与里士湖路交会处东南,建面 98-118㎡,21400,总价208-260(万/套),2024-07-25 23:02:13
7,宝业凤樾上筑,/loupan/p_byfyszbmhqb/,在售,萧山,瓜沥,浙江省杭州市萧山区坎山荣新路与昙华路交叉口,建面 89-128㎡,20350,总价180-220(万/套),2024-07-25 23:02:13
8,星创雅望居,/loupan/p_ywjbmjnk/,在售,萧山,南部卧城,浙江省杭州市萧山区通惠南路1008-1号,建面 104-139㎡,25600,总价266-356(万/套),2024-07-25 23:02:13
9,隐舟府,/loupan/p_yzfbmqpz/,在售,萧山,萧山开发区,浙江省杭州市萧山区戴村镇伟捷石材厂西北(戴尖线东),建面 112㎡,17000,总价200(万/套),2024-07-25 23:02:13
10,沥瑞府,/loupan/p_lrfbmsjp/,在售,萧山,瓜沥,友谊路1118号,建面 100-135㎡,14500,总价145-206(万/套),2024-07-25 23:02:13
11,众安樟源府,/loupan/p_zazyfbmtnw/,在售,萧山,大江东,梅林湾路众安樟源府,建面 89-121㎡,13700,总价121.93-165.77(万/套),2024-07-25 23:02:13
12,瞰奥府,/loupan/p_kafbmwjg/,在售,萧山,萧山新城区,建设四路2303号,建面 100-138㎡,34000,总价402(万/套),2024-07-25 23:02:13
13,保亿湖珀润园,/loupan/p_byhprybmwwv/,在售,萧山,闻堰,亚太路保亿湖珀润园,建面 160-170㎡,28400,总价450(万/套),2024-07-25 23:02:13
14,庞鑫沁耀府,/loupan/p_pxqyfbmxgg/,在售,萧山,大江东,东灵北路庞鑫沁耀府,建面 95-138㎡,17800,总价169.1-246(万/套),2024-07-25 23:02:13
15,滨江临澜之城,/loupan/p_bjllzcbmyba/,在售,萧山,临浦,浙江省杭州市萧山区临浦镇人民大街与浦安路交汇处南侧,建面 100-138㎡,17000,总价155-253(万/套),2024-07-25 23:02:13
16,聆空云境,/loupan/p_lkyjbnaxc/,在售,萧山,大江东,南丰线聆空云境,建面 98-110㎡,20500,总价176-210(万/套),2024-07-25 23:02:13
17,滨映时代府,/loupan/p_bysdfbndml/,在售,萧山,义桥,长春路滨映时代府,建面 95-130㎡,18600,总价160-235(万/套),2024-07-25 23:02:13
18,滨江翠栖府,/loupan/p_bjcqfbnepv/,在售,萧山,萧山开发区,彩虹大道滨江翠栖府,建面 97-139㎡,30750,总价254-410(万/套),2024-07-25 23:02:13
19,崇璟和颂府,/loupan/p_cjhsfbnfzy/,在售,萧山,萧山市区,崇化路崇璟和颂府,建面 106-133㎡,33430,总价350-450(万/套),2024-07-25 23:02:13
20,菲郦雅院,/loupan/p_flyybngab/,在售,萧山,萧山开发区,盛达路菲郦雅院,,价格待定,,2024-07-25 23:02:13
21,绿城桂月云翠园,/loupan/p_lcgyycybnivj/,在售,萧山,萧山新城区,建设三路绿城桂月云翠园,建面 98-172㎡,39500,总价405-643(万/套),2024-07-25 23:02:13
22,璞翠云集公寓,/loupan/p_zhpcyjbnjfn/,在售,萧山,萧山新城区,建设二路与万向路交汇处,建面 110-156㎡,34000,总价298-568(万/套),2024-07-25 23:02:13
23,宸鹭弦歌里,/loupan/p_clxglbnjfv/,在售,萧山,萧山市区,萧山区育才路与拱秀路交汇处(萧山中学西侧),建面 139-175㎡,32000,总价450(万/套),2024-07-25 23:02:13
24,蓝城琉翠轩,/loupan/p_lclcxbnmuv/,在售,萧山,萧山开发区,杭州萧山区钱江世纪城鸿达路与耕文路交叉口,建面 99-125㎡,26500,总价224-328(万/套),2024-07-25 23:02:13
25,伟星望奥,/loupan/p_lwacbnmyt/,在售,萧山,钱江世纪城,杭州萧山区钱江世纪城东至万向直路，南至振宁路，西至物流西路，北至利华路,建面 110-172㎡,34000,总价355-635(万/套),2024-07-25 23:02:13
26,森麓,/loupan/p_syhzcslbnnkz/,待售,萧山,义桥,东思线森与海之城森麓,,价格待定,,2024-07-25 23:02:13
27,西房宸樾世际轩,/loupan/p_xfcysjxbnogf/,在售,萧山,钱江世纪城,杭州萧山区钱江世纪城通北路与规划纵三路交汇处,建面 110-135㎡,31500,总价275-336(万/套),2024-07-25 23:02:13
28,滨江奥印潮观府,/loupan/p_bjaycgfbnogg/,待售,萧山,萧山新城区,"杭州萧山区市北东至兴议路,南至B5路，西至萧邮路，北至横二路",建面 179-240㎡,39500,总价543(万/套),2024-07-25 23:02:13
29,中天海威奥语拾光,/loupan/p_zthwaysgbnogh/,待售,萧山,钱江世纪城,杭州萧山区钱江世纪城东至规划纵三路，南至扬帆路，西至新宁路，北至支一路,建面 110-136㎡,31500,,2024-07-25 23:02:13
30,中天拾光翠语,/loupan/p_ztsgcybnogj/,待售,萧山,南部卧城,杭州萧山区南部卧城沙里吴直街东侧，金沙路南侧,,价格待定,,2024-07-25 23:02:13
31,棠前明月,/loupan/p_tqmybnowe/,待售,萧山,萧山开发区,杭州萧山区市北解放路与北塘东路交汇处,,价格待定,,2024-07-25 23:02:13
32,绿城晓风明月,/loupan/p_lcxfmybnpgj/,待售,萧山,钱江世纪城,杭州萧山区钱江世纪城东至皓月路，南至规划海清路，西至规划经十-路，北至民祥路,,价格待定,,2024-07-25 23:02:13
33,地铁万科彩虹天空之城,/loupan/p_dtwkchtkzcbldoy/,售罄,萧山,萧山开发区,彩虹大道与03省道交叉口,建面 95-152㎡,25600,总价206(万/套),2024-07-25 23:02:13
34,滨江观品,/loupan/p_bjgpbloqd/,售罄,萧山,奥体,金鸡路与利一路交叉口,建面 169-233㎡,47208,总价798(万/套),2024-07-25 23:02:13
35,华润置地亚奥城,/loupan/p_mxlhrzdyacblosc/,售罄,萧山,钱江世纪城,民祥路与观澜路交汇处,建面 123-182㎡,47000,总价580(万/套),2024-07-25 23:02:13
36,万科日耀之城,/loupan/p_fblwkryzcbloxb/,售罄,萧山,钱江世纪城,奔竞大道丰北路交叉口,建面 105-144㎡,47000,,2024-07-25 23:02:13
37,赞成漫悦,/loupan/p_sxnlzcmybltxz/,售罄,萧山,南部卧城,市心南路和规划品德街交汇处西侧,建面 92-123㎡,28300,总价260(万/套),2024-07-25 23:02:13
38,绿城桂冠东方,/loupan/p_fbllcggdfbltzx/,售罄,萧山,钱江世纪城,奔竞大道与丰北路交叉口,建面 196-217㎡,47000,总价530(万/套),2024-07-25 23:02:13
39,兴耀樱漫里,/loupan/p_xyymlbmagw/,售罄,萧山,瓜沥,浙江省杭州市萧山区衙前镇衙前路810号,建面 89-136㎡,18000,总价145(万/套),2024-07-25 23:02:13
40,前湾畅想江澜湾,/loupan/p_qwcxjlwbmfiv/,售罄,萧山,萧山科技城,钱江二路前湾畅想江澜湾,建面 107-217㎡,32300,总价300(万/套),2024-07-25 23:02:13
41,樾臻府,/loupan/p_yzfbmgiy/,售罄,萧山,萧山开发区,浙江省杭州市萧山区石管线,建面 89-116㎡,13000,总价104.89(万/套),2024-07-25 23:02:13
42,之彩城,/loupan/p_bmhpx/,售罄,萧山,瓜沥,浙江省杭州市萧山区建设四路与青六路交叉口,建面 97-129㎡,17000,总价150(万/套),2024-07-25 23:02:13
43,万泰华章,/loupan/p_wthzbmhqa/,售罄,萧山,瓜沥,建设四路万泰华章,建面 89-118㎡,17000,总价151.3(万/套),2024-07-25 23:02:13
44,融信傲世邸,/loupan/p_rxasdbmhtu/,售罄,萧山,奥体,民和路融信傲世邸,建面 204㎡,47000,总价547.61(万/套),2024-07-25 23:02:13
45,滨望雅庭,/loupan/p_bwytbmirw/,售罄,萧山,萧山科技城,浙江省杭州市萧山区,建面 106-142㎡,28500,总价350(万/套),2024-07-25 23:02:13
46,宁望府,/loupan/p_nwfbmirx/,售罄,萧山,萧山新城区,建设四路宁望府,建面 108-142㎡,33500,总价361.8(万/套),2024-07-25 23:02:13
47,滨江潮听映月,/loupan/p_bmkos/,售罄,萧山,萧山新城区,建设四路潮听映月,建面 127-183㎡,37500,总价470.3(万/套),2024-07-25 23:02:13
48,绿城咏桂里,/loupan/p_bmnhb/,售罄,萧山,萧山新城区,建设四路绿城咏桂里,建面 104-164㎡,39500,总价373(万/套),2024-07-25 23:02:13
49,德信·临望宸府,/loupan/p_lwcfbmnph/,售罄,萧山,临浦,浙江省杭州市萧山区东藩北路655号,建面 99-128㎡,16100,,2024-07-25 23:02:13
50,枫翠岚湾,/loupan/p_bmpbb/,售罄,萧山,南部卧城,晨晖路与萧然西路交汇·高桥小学（南江校区）西约400米,建面 96-125㎡,30000,总价288(万/套),2024-07-25 23:02:13
51,听悦雅庭,/loupan/p_bmpbd/,售罄,萧山,南部卧城,萧山区南秀路198号,建面 89-110㎡,30000,总价331.861(万/套),2024-07-25 23:02:13
52,濋玥府,/loupan/p_cyfbmtgw/,售罄,萧山,南部卧城,萧然西路濋玥府,建面 93-123㎡,30000,总价272(万/套),2024-07-25 23:02:13
53,中粮悦著云轩,/loupan/p_yzyxbmthf/,售罄,萧山,钱江世纪城,盈丰路悦著云轩,建面 143-170㎡,46000,,2024-07-25 23:02:13
54,前湾南区,/loupan/p_qwnqbmthw/,售罄,萧山,萧山科技城,畅想路前湾南区,建面 175㎡,29500,总价450(万/套),2024-07-25 23:02:13
55,春境前潮府,/loupan/p_cjqcfbmtiw/,售罄,萧山,瓜沥,衙前路春境前潮府,建面 89㎡,18000,总价165(万/套),2024-07-25 23:02:13
56,德信观奥宸府,/loupan/p_gacfbmtnx/,售罄,萧山,钱江世纪城,新宁路与通北路交叉口,建面 99-132㎡,31500,总价350(万/套),2024-07-25 23:02:13
57,萧澜隐翠轩,/loupan/p_xlycxbmttc/,售罄,萧山,南部卧城,萧然西路萧澜隐翠轩,建面 99-127㎡,30000,总价290(万/套),2024-07-25 23:02:13
58,悦潮云望府,/loupan/p_ycywfbmtvb/,售罄,萧山,钱江世纪城,通北路悦潮云望府,建面 105-130㎡,31500,总价253(万/套),2024-07-25 23:02:13
59,滨江金帝叠潮雅庭,/loupan/p_bjjddcytbmwgr/,售罄,萧山,闻堰,三江路75号,建面 118-162㎡,30860,总价450(万/套),2024-07-25 23:02:13
60,滨江金帝欣翠里,/loupan/p_bjjdxclbmwgs/,售罄,萧山,萧山开发区,建设四路3969号,建面 97-131㎡,27000,总价233(万/套),2024-07-25 23:02:13
61,翠堤春华轩,/loupan/p_cdchxbmwjj/,售罄,萧山,湘湖,彩虹大道翠堤春华轩,建面 104-143㎡,34252,,2024-07-25 23:02:13
62,滨江揽奥望座,/loupan/p_bjlawzbmwqx/,售罄,萧山,钱江世纪城,笃学路滨江揽奥望座,建面 300-320㎡,46000,总价1300(万/套),2024-07-25 23:02:13
63,金帝咏颂轩,/loupan/p_jdysxbmxci/,售罄,萧山,钱江世纪城,宁围街道振宁路与生兴路交叉口,建面 107-125㎡,34000,总价400(万/套),2024-07-25 23:02:13
64,金帝湖望庐,/loupan/p_jdhwlbmxcj/,售罄,萧山,湘湖,萧山区城厢街道西兴路与思学路交叉口向西200米,建面 126-139㎡,35690,总价440(万/套),2024-07-25 23:02:13
65,拥奥府,/loupan/p_yafbmzqn/,售罄,萧山,钱江世纪城,利华路拥奥府,建面 98-126㎡,43000,总价430(万/套),2024-07-25 23:02:13
66,澄虹府,/loupan/p_chfbmzup/,售罄,萧山,钱江世纪城,飞虹路澄虹府,建面 132-236㎡,46000,,2024-07-25 23:02:13
67,月赋杭承府,/loupan/p_yfhcfbnari/,售罄,萧山,钱江世纪城,浙江省杭州市萧山区奔竞大道,建面 210-260㎡,46000,总价960(万/套),2024-07-25 23:02:13
68,珹曜云府,/loupan/p_cyyfbnbss/,售罄,萧山,萧山开发区,耕文路珹曜云府,建面 100-129㎡,29500,总价252(万/套),2024-07-25 23:02:13
69,潮展云起,/loupan/p_czyqbnbst/,售罄,萧山,钱江世纪城,民祥路潮展云起,,价格待定,,2024-07-25 23:02:13
70,樾章璟琇名邸,/loupan/p_yzjxmdbndmm/,售罄,萧山,萧山新城区,市心北路樾章璟琇名邸,建面 139-190㎡,39500,总价436.35(万/套),2024-07-25 23:02:13
71,沄萃府,/loupan/p_ycfbnesj/,售罄,萧山,萧山开发区,文明路沄萃府,建面 100-133㎡,27000,总价257(万/套),2024-07-25 23:02:13
72,望阙轩,/loupan/p_wqxbnewq/,售罄,萧山,钱江世纪城,博奥路望阙轩,建面 199-244㎡,46000,,2024-07-25 23:02:13
73,建发中粮朗云,/loupan/p_jfzllybnlxs/,售罄,萧山,钱江世纪城,民祥路建发中粮朗云,建面 165-333㎡,46000,总价700(万/套),2024-07-25 23:02:13
74,绿城月咏和风,/loupan/p_lcyyhfbnmhx/,售罄,萧山,西兴,杭州萧山区市北东至规划湖园三路，南至规划湖园二路，西至规划湖头陈北路，北至规划山阴路,建面 127-170㎡,32500,总价387(万/套),2024-07-25 23:02:13
75,揽晴轩,/loupan/p_lqxbnmjx/,售罄,萧山,萧山市区,杭州萧山区萧山新城东至永久路、南至永久公寓、西至规划纵十路、北至山阴路,建面 185㎡,37023,总价650(万/套),2024-07-25 23:02:13
76,向云晓著,/loupan/p_xyxzbnnae/,售罄,萧山,西兴,风情大道355号,建面 136-175㎡,32500,总价451(万/套),2024-07-25 23:02:13
